Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2260.05029297	2310.05834961	2272.10131836	2258.52685547	2280.64794922	9121.33447266	
2260.1003418	2318.75488281	2326.90185547	2226.12768555	2277.75244141	9149.53686523	
2260.15039062	2305.20898438	2275.56982422	2307.24169922	2329.25341797	9217.27392578	
2260.20019531	2318.33203125	2242.14282227	2326.60766602	2379.72412109	9266.80664062	
2260.25024414	2344.78125	2315.22143555	2298.32763672	2390.68725586	9349.01757812	
2260.30029297	2382.11376953	2385.54394531	2395.96264648	2426.54321289	9590.16357422	
2260.3503418	2410.33032227	2480.87329102	2445.3671875	2422.18212891	9758.75292969	
2260.40039062	2401.32788086	2402.86987305	2467.02392578	2480.01049805	9751.23217773	
2260.45019531	2438.64624023	2529.70654297	2455.98168945	2500.71337891	9925.04785156	
2260.50024414	2543.52197266	2565.61743164	2445.12817383	2466.94506836	10021.2126465	
2260.55029297	2546.20849609	2515.71801758	2527.11499023	2474.04736328	10063.0888672	
2260.6003418	2562.31713867	2598.3828125	2551.7668457	2458.87597656	10171.3427734	
2260.65039062	2581.8215332	2606.64526367	2546.01538086	2545.46142578	10279.9436035	
2260.70019531	2601.83837891	2570.66870117	2589.31445312	2609.37084961	10371.1923828	
2260.75024414	2583.99487305	2549.25634766	2573.10229492	2566.29199219	10272.6455078	
2260.80029297	2579.04150391	2638.33398438	2642.8137207	2695.7578125	10555.9470215	
2260.8503418	2695.8125	2698.3996582	2688.0559082	2676.18505859	10758.453125	
2260.90039062	2666.48779297	2735.8293457	2797.09033203	2695.21850586	10894.6259766	
2260.95019531	2751.32836914	2686.00317383	2657.89404297	2817.77075195	10912.9963379	
2261.00024414	2761.80175781	2702.30029297	2674.17944336	2803.58227539	10941.8637695	
2261.05029297	2796.42724609	2818.95947266	2729.11352539	2691.84130859	11036.3415527	
2261.1003418	2789.84716797	2778.34228516	2799.76416016	2742.9440918	11110.8977051	
2261.15039062	2772.83422852	2743.86816406	2804.95703125	2818.84790039	11140.5073242	
2261.20019531	2933.66748047	2813.2734375	2848.37084961	2857.19433594	11452.5061035	
2261.25024414	2922.4387207	2919.33569336	2945.07080078	2881.93823242	11668.7834473	
2261.30029297	2893.80761719	2835.98583984	2986.17822266	2821.94506836	11537.916748	
2261.3503418	2926.25708008	2977.19677734	2950.04052734	2877.93603516	11731.4304199	
2261.40039062	3002.69946289	2909.61547852	3022.04833984	2838.24926758	11772.6125488	
2261.45019531	2993.90795898	2849.78173828	3031.36474609	2948.94921875	11824.0036621	
2261.50024414	3041.20800781	2970.06201172	3107.93212891	2926.68774414	12045.8898926	
2261.55029297	2971.49291992	3008.66992188	3061.6887207	3001.81103516	12043.6625977	
2261.6003418	3102.86523438	3035.05297852	3090.84179688	3007.10571289	12235.8657227	
2261.65039062	3143.23950195	3065.71142578	3164.56347656	3087.29760742	12460.8120117	
2261.70019531	3084.8425293	3034.21459961	3130.02001953	2975.40087891	12224.4780273	
2261.75024414	3075.12768555	3121.54614258	3116.49414062	3033.40551758	12346.5734863	
2261.80029297	3098.48583984	3137.18066406	3236.67895508	3167.95410156	12640.2995605	
2261.8503418	3101.5715332	3185.36694336	3196.91821289	3159.94116211	12643.7978516	
2261.90039062	3147.69580078	3190.26977539	3180.15820312	3093.74560547	12611.8693848	
2261.95019531	3280.87988281	3164.39111328	3339.11791992	3186.63549805	12971.0244141	
2262.00024414	3317.12915039	3290.71362305	3285.65380859	3139.36791992	13032.864502	
2262.05029297	3271.42895508	3242.03442383	3278.08007812	3178.36157227	12969.9050293	
2262.1003418	3245.79443359	3244.05493164	3271.62597656	3277.76416016	13039.239502	
2262.15039062	3331.87939453	3423.12817383	3266.77319336	3369.87060547	13391.6513672	
2262.20019531	3425.5925293	3419.40869141	3381.75170898	3374.88745117	13601.6403809	
2262.25024414	3509.58227539	3350.18017578	3469.49316406	3354.15454102	13683.4101562	
2262.30029297	3320.36694336	3368.45141602	3437.18603516	3421.09179688	13547.0961914	
2262.3503418	3280.62011719	3419.01318359	3429.00244141	3461.18017578	13589.815918	
2262.40039062	3418.93432617	3481.15625	3459.72192383	3369.24658203	13729.059082	
2262.45019531	3515.74243164	3446.10131836	3369.6628418	3422.73608398	13754.2426758	
2262.50024414	3708.65454102	3549.68115234	3508.09619141	3496.73046875	14263.1623535	
2262.55029297	3580.89599609	3572.37915039	3479.37670898	3547.06835938	14179.7202148	
2262.6003418	3549.15063477	3626.49926758	3505.22241211	3587.34399414	14268.2163086	
2262.65039062	3573.02294922	3519.40820312	3527.42578125	3573.17285156	14193.0297852	
2262.70019531	3641.2331543	3555.56054688	3632.64306641	3593.18310547	14422.619873	
2262.75024414	3639.99365234	3605.34716797	3673.8046875	3687.3684082	14606.513916	
2262.80029297	3607.89941406	3678.20239258	3602.09667969	3629.25390625	14517.4523926	
2262.8503418	3633.54394531	3539.2980957	3674.4934082	3633.77539062	14481.1108398	
2262.90039062	3622.38208008	3701.57836914	3692.62939453	3696.39746094	14712.9873047	
2262.95019531	3655.59057617	3702.5168457	3704.27758789	3597.08154297	14659.4665527	
2263.00024414	3629.265625	3687.07739258	3663.0234375	3589.42431641	14568.7907715	
2263.05029297	3776.90551758	3720.13916016	3694.75854492	3753.97241211	14945.7756348	
2263.1003418	3709.90429688	3783.49438477	3696.59423828	3663.87866211	14853.871582	
2263.15039062	3570.2097168	3641.27001953	3634.74633789	3681.27734375	14527.503418	
2263.20019531	3630.67456055	3607.95874023	3558.58251953	3603.00341797	14400.2192383	
2263.25024414	3632.88476562	3636.90942383	3771.41503906	3698.25585938	14739.4650879	
2263.30029297	3572.94165039	3618.76635742	3709.38378906	3691.79541016	14592.887207	
2263.3503418	3586.41137695	3559.50634766	3611.61987305	3731.30712891	14488.8447266	
2263.40039062	3611.29638672	3528.22949219	3582.640625	3606.81616211	14328.982666	
2263.45019531	3627.88452148	3540.81079102	3537.17773438	3620.40332031	14326.2763672	
2263.50024414	3589.26538086	3471.92382812	3640.45898438	3532.82446289	14234.4726562	
2263.55029297	3522.38208008	3469.20849609	3586.35522461	3551.41015625	14129.355957	
2263.6003418	3523.81567383	3554.10742188	3514.66577148	3531.73486328	14124.3237305	
2263.65039062	3484.21875	3654.40014648	3454.61132812	3519.65795898	14112.8881836	
2263.70019531	3390.96484375	3513.18457031	3439.1809082	3479.66894531	13822.9992676	
2263.75024414	3407.6652832	3452.73754883	3413.3046875	3476.31665039	13750.0241699	
2263.80029297	3467.90039062	3430.32666016	3325.53808594	3532.2722168	13756.0373535	
2263.8503418	3384.5690918	3270.34082031	3437.36401367	3490.72436523	13582.998291	
2263.90039062	3381.03613281	3346.94677734	3310.16650391	3414.92773438	13453.0771484	
2263.95019531	3298.9621582	3396.35864258	3351.86499023	3424.39819336	13471.5839844	
2264.00024414	3274.34326172	3334.38964844	3371.18457031	3317.30517578	13297.2226562	
2264.05029297	3323.65454102	3273.2019043	3416.7109375	3302.18310547	13315.7504883	
2264.1003418	3347.0625	3311.4152832	3404.12524414	3364.68725586	13427.2902832	
2264.15039062	3260.72875977	3278.64038086	3291.4375	3257.1328125	13087.9394531	
2264.20019531	3289.73486328	3233.46850586	3222.77270508	3185.76220703	12931.7382812	
2264.25024414	3334.40942383	3293.17431641	3385.24511719	3255.43334961	13268.262207	
2264.30029297	3283.29248047	3251.17211914	3296.37841797	3202.42700195	13033.2700195	
2264.3503418	3227.21411133	3148.43334961	3306.35913086	3235.67578125	12917.682373	
