Energy	Sweep0	Sweep1	Sum
1203.90002441	4477.83837891	4506.62695312	8984.46533203	
1203.95007324	4558.89697266	4580.64355469	9139.54052734	
1204.0	4511.32568359	4465.1484375	8976.47412109	
1204.05004883	4493.72314453	4459.74609375	8953.46923828	
1204.10009766	4392.59521484	4493.78369141	8886.37890625	
1204.15002441	4497.52880859	4473.48828125	8971.01708984	
1204.20007324	4493.81787109	4447.24658203	8941.06445312	
1204.25	4525.96044922	4528.15673828	9054.1171875	
1204.30004883	4579.93164062	4601.22021484	9181.15185547	
1204.35009766	4382.3984375	4451.49169922	8833.89013672	
1204.40002441	4331.86083984	4490.99267578	8822.85351562	
1204.45007324	4534.86816406	4569.89501953	9104.76318359	
1204.5	4490.82861328	4494.01904297	8984.84765625	
1204.55004883	4462.21582031	4498.31933594	8960.53515625	
1204.60009766	4427.68994141	4547.35400391	8975.04394531	
1204.65002441	4512.52587891	4547.63867188	9060.16455078	
1204.70007324	4627.93212891	4571.10205078	9199.03417969	
1204.75	4520.97119141	4522.32666016	9043.29785156	
1204.80004883	4514.38964844	4507.86669922	9022.25634766	
1204.85009766	4543.49462891	4529.59228516	9073.08691406	
1204.90002441	4520.12451172	4587.20947266	9107.33398438	
1204.95007324	4449.3515625	4563.75146484	9013.10302734	
1205.0	4425.25439453	4625.76806641	9051.02246094	
1205.05004883	4574.80322266	4579.71972656	9154.52294922	
1205.10009766	4642.18066406	4630.52734375	9272.70800781	
1205.15002441	4514.24804688	4501.72412109	9015.97216797	
1205.20007324	4476.890625	4578.45410156	9055.34472656	
1205.25	4519.77685547	4546.30371094	9066.08056641	
1205.30004883	4504.66748047	4566.63720703	9071.3046875	
1205.35009766	4565.96923828	4667.37841797	9233.34765625	
1205.40002441	4632.21337891	4656.11425781	9288.32763672	
1205.45007324	4555.16210938	4666.64697266	9221.80908203	
1205.5	4580.30517578	4698.36572266	9278.67089844	
1205.55004883	4614.13134766	4667.39404297	9281.52539062	
1205.60009766	4518.53076172	4651.13818359	9169.66894531	
1205.65002441	4535.21240234	4656.09179688	9191.30419922	
1205.70007324	4512.59179688	4616.02050781	9128.61230469	
1205.75	4674.15820312	4643.98583984	9318.14404297	
1205.80004883	4651.40527344	4683.12744141	9334.53271484	
1205.85009766	4557.60400391	4618.49072266	9176.09472656	
1205.90002441	4618.47314453	4743.71582031	9362.18896484	
1205.95007324	4618.16943359	4735.37939453	9353.54882812	
1206.0	4609.2890625	4701.83447266	9311.12353516	
