Energy	Sweep0	Sweep1	Sum
1880.55029297	7909.50683594	8170.34326172	16079.8500977	
1880.60021973	7933.91357422	7941.51611328	15875.4296875	
1880.65026855	7795.015625	7658.70996094	15453.7255859	
1880.70031738	7460.96337891	7466.03320312	14926.996582	
1880.75024414	7144.69140625	7136.52783203	14281.2192383	
1880.80029297	7120.88427734	6838.48486328	13959.3691406	
1880.85021973	6593.24365234	6675.19482422	13268.4384766	
1880.90026855	6266.10449219	6397.46582031	12663.5703125	
1880.95031738	5885.83984375	5904.39257812	11790.2324219	
1881.00024414	5547.16503906	5597.2578125	11144.4228516	
1881.05029297	5205.88134766	5082.50927734	10288.390625	
1881.10021973	4895.83691406	4808.48632812	9704.32324219	
1881.15026855	4518.96435547	4505.37597656	9024.34033203	
1881.20031738	4192.69580078	4180.24365234	8372.93945312	
1881.25024414	3924.8293457	3850.89355469	7775.72290039	
1881.30029297	3612.78857422	3588.58691406	7201.37548828	
1881.35021973	3366.70727539	3371.10913086	6737.81640625	
1881.40026855	3209.28100586	3068.96435547	6278.24536133	
1881.45031738	2821.62475586	2829.93774414	5651.5625	
1881.50024414	2712.04296875	2731.52172852	5443.56469727	
1881.55029297	2507.75927734	2474.73950195	4982.4987793	
1881.60021973	2366.23071289	2313.71923828	4679.94995117	
1881.65026855	2220.96240234	2186.06665039	4407.02905273	
1881.70031738	2051.70288086	2117.25292969	4168.95581055	
1881.75024414	2005.02966309	2022.7331543	4027.76281738	
1881.80029297	1959.31030273	1898.00134277	3857.31164551	
1881.85021973	1820.55444336	1836.93994141	3657.49438477	
1881.90026855	1830.64404297	1767.71350098	3598.35754395	
1881.95031738	1769.88110352	1656.70092773	3426.58203125	
1882.00024414	1643.13110352	1689.26879883	3332.39990234	
1882.05029297	1610.06921387	1686.41882324	3296.48803711	
1882.10021973	1622.60351562	1647.16967773	3269.77319336	
1882.15026855	1558.28149414	1610.56274414	3168.84423828	
1882.20031738	1607.36376953	1526.78747559	3134.15124512	
1882.25024414	1587.46508789	1517.72094727	3105.18603516	
1882.30029297	1566.90014648	1462.77307129	3029.67321777	
1882.35021973	1529.83972168	1518.85656738	3048.69628906	
1882.40026855	1587.53564453	1539.91796875	3127.45361328	
1882.45031738	1544.03479004	1536.54724121	3080.58203125	
1882.50024414	1560.11779785	1538.3269043	3098.44470215	
1882.55029297	1541.97265625	1513.72290039	3055.69555664	
1882.60021973	1490.99206543	1502.51367188	2993.5057373	
1882.65026855	1490.10192871	1549.28405762	3039.38598633	
1882.70031738	1451.91931152	1590.19030762	3042.10961914	
1882.75024414	1441.32165527	1444.01171875	2885.33337402	
1882.80029297	1509.62158203	1480.72753906	2990.34912109	
