Energy	Sweep0	
2120.05029297	2389.84619141	
2120.1003418	2503.81835938	
2120.15039062	2490.19140625	
2120.20019531	2402.23364258	
2120.25024414	2442.90380859	
2120.30029297	2472.07250977	
2120.3503418	2421.40698242	
2120.40039062	2466.5690918	
2120.45019531	2464.74047852	
2120.50024414	2468.01489258	
2120.55029297	2480.23657227	
2120.6003418	2513.01269531	
2120.65039062	2476.72558594	
2120.70019531	2428.671875	
2120.75024414	2441.74243164	
2120.80029297	2422.64013672	
2120.8503418	2378.81567383	
2120.90039062	2447.16821289	
2120.95019531	2363.69604492	
2121.00024414	2416.83251953	
2121.05029297	2389.10693359	
2121.1003418	2377.72998047	
2121.15039062	2442.14550781	
2121.20019531	2441.31860352	
2121.25024414	2414.52807617	
2121.30029297	2490.53637695	
2121.3503418	2414.12768555	
2121.40039062	2417.99829102	
2121.45019531	2411.34790039	
2121.50024414	2432.42163086	
2121.55029297	2418.48168945	
2121.6003418	2389.89404297	
2121.65039062	2433.21142578	
2121.70019531	2430.98706055	
2121.75024414	2460.46484375	
2121.80029297	2422.53222656	
2121.8503418	2423.09619141	
2121.90039062	2493.23657227	
2121.95019531	2407.61254883	
2122.00024414	2421.43212891	
2122.05029297	2388.22949219	
2122.1003418	2410.79150391	
2122.15039062	2409.58447266	
2122.20019531	2398.45825195	
2122.25024414	2392.0534668	
2122.30029297	2426.57543945	
2122.3503418	2425.63232422	
2122.40039062	2425.36376953	
2122.45019531	2478.31860352	
2122.50024414	2413.125	
2122.55029297	2375.23828125	
2122.6003418	2330.25366211	
2122.65039062	2403.95922852	
2122.70019531	2475.38964844	
2122.75024414	2392.65307617	
2122.80029297	2340.82202148	
2122.8503418	2324.10498047	
2122.90039062	2361.96484375	
2122.95019531	2359.61132812	
2123.00024414	2367.03100586	
2123.05029297	2391.67260742	
2123.1003418	2354.37670898	
2123.15039062	2308.49121094	
2123.20019531	2307.49780273	
2123.25024414	2386.72485352	
2123.30029297	2330.66040039	
2123.3503418	2285.39135742	
